ID_ALU,PLA,NOM,CODI_RUCT,ANY_PROVA,CONV_PROVA,FASE,CODI_MATERIA,NOM_MATERIA,PRESENTAT,NOTA
23423,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,GEN,307,Matemàtiques Aplicades a les Ciències Socials II,S,9
23423,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,GEN,401,Llengua Castellana i Literatura II,S,3
23423,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,GEN,402,Història de la Filosofia,S,3
23423,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,GEN,408,Anglès,S,5.5
23423,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,GEN,411,Llengua Catalana i Literatura II,S,4
23424,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2009-10,SET,ESP,106,Dibuix Tècnic II,S,10
23424,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2009-10,SET,ESP,204,Física,S,2
23424,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2009-10,SET,GEN,205,Matemàtiques II,S,3.5
23424,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2009-10,SET,GEN,401,Llengua Castellana i Literatura II,S,3
23424,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2009-10,SET,GEN,403,Història d'Espanya,S,3.5
23424,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2009-10,SET,GEN,408,Anglès,S,6
23424,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2009-10,SET,GEN,411,Llengua Catalana i Literatura II,S,4.5
23425,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,ESP,106,Dibuix Tècnic II,S,7
23425,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,ESP,204,Física,S,5
23425,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,GEN,205,Matemàtiques II,S,7
23425,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,GEN,401,Llengua Castellana i Literatura II,S,3.5
23425,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,GEN,402,Història de la Filosofia,S,4.5
23425,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,GEN,408,Anglès,S,4.5
23425,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2011-12,SET,GEN,411,Llengua Catalana i Literatura II,S,3
23426,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2012-13,JUN,ESP,203,Electrotècnia,S,9
23426,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2012-13,JUN,ESP,205,Matemàtiques II,S,9
23426,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2012-13,JUN,GEN,204,Física,S,7.5
23426,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2012-13,JUN,GEN,401,Llengua Castellana i Literatura II,S,7
23426,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2012-13,JUN,GEN,402,Història de la Filosofia,S,7
23426,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2012-13,JUN,GEN,408,Anglès,S,7
23426,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2012-13,JUN,GEN,411,Llengua Catalana i Literatura II,S,8.5
23427,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2010-11,JUN,ESP,303,Geografia,S,8.5
23427,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2010-11,JUN,ESP,307,Matemàtiques Aplicades a les Ciències Socials II,S,2
23427,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2010-11,JUN,GEN,302,Economia de l'Empresa,S,6
23427,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2010-11,JUN,GEN,401,Llengua Castellana i Literatura II,S,5
23427,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2010-11,JUN,GEN,403,Història d'Espanya,S,4
23427,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2010-11,JUN,GEN,408,Anglès,S,5.5
23427,GEIN,Grau d'Enginyeria Informàtica (Pla 2010),2502135,2010-11,JUN,GEN,411,Llengua Catalana i Literatura II,S,4.5
